bigrama,tfidf_falso,tfidf_verdadeiro,diferenca
12 congresso,0.0,0.0001172629776219,-0.0001172629776219
12 corrupcao,3.465781431943523e-05,5.006500742883676e-05,-1.5407193109401527e-05
12 dezembro,5.537778541574742e-05,0.0001035544440359,-4.817665862023758e-05
12 dias,5.820094061805747e-05,0.000206803017982,-0.0001486020773639
12 estadios,0.0,9.713291189119804e-05,-9.713291189119804e-05
12 fevereiro,0.0,9.414596961590276e-05,-9.414596961590276e-05
12 horas,0.0003977857563385,0.0002994126190252,9.837313731331162e-05
12 inqueritos,0.0001122471882227,0.0,0.0001122471882227
12 ja,6.440640514668925e-05,4.437206816442852e-05,2.0034336982260725e-05
12 janeiro,7.619061055328546e-05,3.7289068656236974e-05,3.890154189704849e-05
12 juiz,4.779075699506545e-05,3.774905413912535e-05,1.0041702855940105e-05
12 julho,3.412361921885487e-05,0.0001715169533517,-0.0001373933341329
12 junho,0.0,0.0001151687685852,-0.0001151687685852
12 maio,2.3670802790803667e-05,0.000149668256563,-0.0001259974537722
12 marco,0.0,0.0001118651749479,-0.0001118651749479
12 meses,0.0002493205139884,0.0004389327409413,-0.0001896122269529
12 metros,0.0,8.79344486830099e-05,-8.79344486830099e-05
12 mil,8.2302802206287e-05,6.99161038790427e-05,1.238669832724431e-05
12 milhoes,0.0008177138284247,0.0007389318563976,7.878197202707416e-05
12 ministerio,0.0,0.0001166774160963,-0.0001166774160963
12 minutos,4.0641880635331055e-05,4.173496092523614e-05,-1.0930802899050866e-06
12 mortes,0.0,7.659589015123174e-05,-7.659589015123174e-05
12 nao,0.0,7.229241973575347e-05,-7.229241973575347e-05
12 novembro,3.79438646661742e-05,2.44559963319677e-05,1.3487868334206498e-05
12 outubro,0.0001060824094143,2.9634855383938805e-05,7.644755403040281e-05
12 paginas,0.0,7.819175843708454e-05,-7.819175843708454e-05
12 paises,3.612543591534528e-05,3.92894569390601e-05,-3.164021023714825e-06
12 pessoas,3.716404631525323e-05,0.000367074191285,-0.0003299101449698
12 plenario,3.676203383733334e-05,3.546372091311291e-05,1.2983129242204308e-06
12 policiais,3.3424350422321745e-05,4.850225950880458e-05,-1.5077909086482834e-05
12 porto,4.623596879511075e-05,5.478715641963604e-05,-8.551187624525291e-06
12 reus,0.0,5.78311492090483e-05,-5.78311492090483e-05
12 setembro,5.413758788834725e-05,0.0001169691573917,-6.283156950335412e-05
12 temporadas,0.0,0.0002091063559212,-0.0002091063559212
12 vice,0.0,0.0001099691154542,-0.0001099691154542
12 votos,3.5163376029062104e-05,6.193590776337e-05,-2.6772531734307895e-05
120 anos,4.74774950980259e-05,4.995592043961543e-05,-2.478425341589531e-06
120 bilhoes,0.0001097432978341,0.0,0.0001097432978341
120 dias,7.719735730262798e-05,0.0001107170324088,-3.351967510617206e-05
120 mil,0.0001619216391585,0.0001021266242705,5.9795014887977033e-05
120 milhoes,5.1454999445716e-05,0.0001078224249059,-5.636742546019228e-05
121 edificio,0.0,0.0002856764623023,-0.0002856764623023
121 hill,0.0,8.241789141672786e-05,-8.241789141672786e-05
12292 2010,8.497832628405132e-05,0.0,8.497832628405132e-05
125 constituicao,0.0001683153842417,0.0,0.0001683153842417
125 mil,8.900476501507885e-05,0.0,8.900476501507885e-05
125 milhoes,4.721926935546194e-05,5.027806750060665e-05,-3.058798145144706e-06
128 milhoes,2.5291031730367983e-05,3.87435894288203e-05,-1.3452557698452312e-05
12ª vara,3.9998591685765886e-05,7.813589264463308e-05,-3.8137300958867193e-05
13 17,3.570097211993625e-05,2.8379639882809137e-05,7.3213322371271156e-06
13 30,0.0001109703602314,0.0,0.0001109703602314
13 abril,8.066437486528057e-05,7.873675611290979e-05,1.9276187523707758e-06
13 acao,0.0,7.391284655933794e-05,-7.391284655933794e-05
13 afirmar,3.933344207844126e-05,3.334612862829623e-05,5.987313450145033e-06
13 anos,0.0005277630104693,0.0009116956305177,-0.0003839326200484
13 bilhoes,0.0001160138084774,0.0002450916670113,-0.0001290778585339
13 casos,0.0,0.0001096775139862,-0.0001096775139862
13 curitiba,3.997529128039691e-05,3.825927881069724e-05,1.7160124696996725e-06
13 declarou,2.9777490972477365e-05,2.741776746289353e-05,2.3597235095838336e-06
13 delegada,0.0,6.016158840787583e-05,-6.016158840787583e-05
13 dezembro,0.0,0.0001226931894204,-0.0001226931894204
13 dia,0.0,0.0001570463554744,-0.0001570463554744
13 ex,3.618476091883852e-05,8.89421435524549e-05,-5.275738263361639e-05
13 fevereiro,0.0,0.00018438370724,-0.00018438370724
13 janeiro,0.0,0.0001274444200777,-0.0001274444200777
13 jornalista,8.847062198610726e-05,0.0,8.847062198610726e-05
13 julho,4.106863901958894e-05,3.442402102723133e-05,6.644617992357611e-06
13 junho,8.322482619556356e-05,6.939689219313292e-05,1.3827934002430642e-05
13 justica,0.0,9.396209390974513e-05,-9.396209390974513e-05
13 maio,3.193942888337598e-05,0.0001309765730855,-9.903714420213924e-05
13 marco,4.066877510464023e-05,0.0002331127449296,-0.000192443969825
13 meses,0.0001027734211083,0.0,0.0001027734211083
13 mil,0.0001263836651462,7.550752916209562e-05,5.087613598412521e-05
13 milhoes,0.0002558124166361,0.0001311815960387,0.0001246308205974
13 nao,0.0,0.0001289770812208,-0.0001289770812208
13 novembro,4.188274466949704e-05,0.0002083686827634,-0.0001664859380939
13 pavimentos,6.759799699656492e-05,0.0,6.759799699656492e-05
13 pessoas,0.0,0.0001075204687771,-0.0001075204687771
13 policia,7.557405577996252e-05,3.75740679331939e-05,3.799998784676863e-05
13 pt,3.598825055318665e-05,6.044391314931046e-05,-2.445566259612381e-05
13 recebeu,3.4027257123451584e-05,3.811118495768436e-05,-4.083927834232779e-06
13 reu,5.647070995519046e-05,4.49993660261982e-05,1.1471343928992266e-05
13 senadores,0.0002086854600223,7.400190741417158e-05,0.0001346835526081
13 setembro,3.565924388153044e-05,0.0001800605795587,-0.0001444013356772
13 todo,4.223566709903735e-05,4.156546639527384e-05,6.702007037635168e-07
13 vara,0.0,0.0003519678024982,-0.0003519678024982
13 votos,0.0,9.93670390261344e-05,-9.93670390261344e-05
130 anos,0.0,0.0001382757495198,-0.0001382757495198
130 bilhoes,6.68361437519806e-05,0.0,6.68361437519806e-05
130 deputados,8.74051534390289e-05,0.0,8.74051534390289e-05
130 pessoas,0.0,0.0001350790289824,-0.0001350790289824
130 quilos,4.2475768884728986e-05,5.456595337855545e-05,-1.209018449382646e-05
133 milhoes,8.142847406220741e-05,0.0,8.142847406220741e-05
135 milhoes,6.850276113940494e-05,0.0,6.850276113940494e-05
139 bilhoes,3.008422102366487e-05,0.0002174008442627,-0.000187316623239
13a vara,0.0001570429006598,0.0,0.0001570429006598
13h30 desta,0.0,0.0001003768677329,-0.0001003768677329
13ª vara,0.0003674817631971,0.0003533267179188,1.4155045278245308e-05
14 00,0.0001814439636932,0.0,0.0001814439636932
14 14,2.7067897724310396e-05,0.0,2.7067897724310396e-05
14 17,2.6252238738963137e-05,7.693696289318433e-05,-5.06847241542212e-05
14 acordo,7.358020157428151e-05,5.4654437272687225e-05,1.892576430159429e-05
14 agosto,4.834751450782497e-05,0.0001220262161041,-7.367870159632328e-05
14 anos,0.0006954562428912,0.0006775334044347,1.7922838456466985e-05
14 apos,0.0,8.630648817631369e-05,-8.630648817631369e-05
14 bilhoes,3.500967800729948e-05,0.0001702663631692,-0.0001352566851619
14 comparacao,0.0,9.666874280844936e-05,-9.666874280844936e-05
14 coreia,4.605513643513317e-05,2.7432941603841028e-05,1.862219483129214e-05
14 dezembro,0.0,0.0001794839348488,-0.0001794839348488
14 dias,6.770557213213067e-05,0.0001568315950001,-8.912602286801415e-05
14 feridos,0.0,9.093923775586575e-05,-9.093923775586575e-05
14 fevereiro,0.0,0.0001329839989753,-0.0001329839989753
14 horas,6.104827493760891e-05,0.0002299473197515,-0.0001688990448139
14 jornalista,5.49930937425085e-05,0.0,5.49930937425085e-05
14 juiz,3.7984102660127226e-05,3.264936223738018e-05,5.334740422747047e-06
14 julho,0.0,0.0001325360942927,-0.0001325360942927
14 junho,0.0,0.0001679941820295,-0.0001679941820295
14 livros,2.9352352234720804e-05,0.0002523406344567,-0.000222988282222
14 manter,0.0,6.431332503013785e-05,-6.431332503013785e-05
14 marco,0.0001816359920751,7.192418551801555e-05,0.0001097118065571
14 mil,0.0001782147547096,0.0,0.0001782147547096
14 milhoes,0.000198649445505,0.0001323679208425,6.628152466248187e-05
14 ministros,5.99071665099394e-05,5.66159065221251e-05,3.2912599878142968e-06
14 nao,0.0,0.0001165279305616,-0.0001165279305616
14 nova,0.0,8.901804860672275e-05,-8.901804860672275e-05
14 novembro,0.0,0.000137297731501,-0.000137297731501
14 organizacao,0.0,0.0001184573462128,-0.0001184573462128
14 pessoas,0.0,0.0001511137478634,-0.0001511137478634
14 polegadas,5.5566154660247774e-05,0.0,5.5566154660247774e-05
14 projeto,0.0,7.634605874023845e-05,-7.634605874023845e-05
14 relacao,0.0,0.0001333826144894,-0.0001333826144894
14 setembro,7.091022917440836e-05,4.357757062351029e-05,2.7332658550898067e-05
14 supremo,0.0,7.917467396624779e-05,-7.917467396624779e-05
14 vamos,2.7067897724310396e-05,0.0,2.7067897724310396e-05
14 votacao,4.972856451805499e-05,3.621532733083821e-05,1.3513237187216784e-05
14 votos,6.925475085298268e-05,4.129548866778743e-05,2.795926218519525e-05
140 mil,0.0,0.0001891647610407,-0.0001891647610407
140 milhoes,8.339199322940512e-05,0.0,8.339199322940512e-05
142 cf,0.0001096012326108,0.0,0.0001096012326108
143 325,8.104464403940749e-05,0.0,8.104464403940749e-05
14h deste,0.0,8.104092264525333e-05,-8.104092264525333e-05
14ª fase,0.0,0.0001192154114194,-0.0001192154114194
14ª vara,4.4073555812392255e-05,7.184623693314569e-05,-2.777268112075343e-05
15 000,9.11875370568242e-05,3.346245113850398e-05,5.772508591832021e-05
15 18,8.373325919197027e-05,4.324607334595032e-05,4.048718584601996e-05
15 20,7.33285291350035e-05,0.0001817402262942,-0.0001084116971592
15 63,5.0342955217421424e-05,3.765242063868628e-05,1.2690534578735142e-05
15 abril,8.321423722541828e-05,9.112880304234894e-05,-7.914565816930655e-06
15 adolescentes,6.72487760634794e-05,0.0,6.72487760634794e-05
15 agosto,0.0,9.728957525625848e-05,-9.728957525625848e-05
15 alcance,0.0,4.853302287181056e-05,-4.853302287181056e-05
15 anos,0.0006107839408601,0.0012287417531563,-0.0006179578122962
15 bilhoes,3.126686263503617e-05,0.0004271245248286,-0.0003958576621936
15 dentro,0.0,8.359798079670269e-05,-8.359798079670269e-05
15 dezembro,3.1915432902469665e-05,0.0004085187726907,-0.0003766033397882
15 dias,0.0002428465144992,0.0002744142860759,-3.156777157665934e-05
15 disse,7.513917207011337e-05,3.615892221439253e-05,3.898024985572084e-05
15 fevereiro,5.73380768561434e-05,0.0001066613278518,-4.932325099571251e-05
15 ficaram,3.954954821237304e-05,4.602584717455956e-05,-6.476298962186526e-06
15 forca,3.5453660782721415e-05,2.8503522403354805e-05,6.9501383793666096e-06
15 horas,0.0001085604978015,9.359285769756309e-05,1.49676401039943e-05
15 janeiro,5.3608797126196274e-05,0.0002899755213537,-0.0002363667242275
15 julho,1.7588899635526527e-05,0.0001738642864945,-0.000156275386859
15 mandados,0.0,8.798104722895044e-05,-8.798104722895044e-05
15 marco,2.33965471401456e-05,9.388949506879758e-05,-7.049294792865198e-05
15 mil,0.0002418095355791,0.0002601907510453,-1.8381215466225983e-05
15 milhoes,0.0004841364791905,0.0003247404863285,0.0001593959928619
15 minutos,0.0001704536828331,0.0002318304864211,-6.137680358808825e-05
15 nao,3.2763868167774295e-05,3.777330787965094e-05,-5.009439711876643e-06
15 negociacoes,0.0,7.155479411912911e-05,-7.155479411912911e-05
15 novembro,0.0001590908325471,0.0,0.0001590908325471
15 outubro,5.8805881979973176e-05,0.0,5.8805881979973176e-05
15 paises,5.574239981870722e-05,0.0,5.574239981870722e-05
15 passagens,0.0,0.0001123068278828,-0.0001123068278828
15 policiais,6.859303728430082e-05,6.260948401185269e-05,5.9835532724481335e-06
15 presidente,5.094579859092458e-05,6.139770060793031e-05,-1.0451902017005724e-05
15 projetos,0.0,7.559204486905489e-05,-7.559204486905489e-05
15 segundos,3.150502646607561e-05,4.51069124371638e-05,-1.3601885971088188e-05
15 setembro,5.228407405997521e-05,9.093501646101968e-05,-3.865094240104448e-05
15 video,2.833209391856644e-05,5.461843144347641e-05,-2.628633752490997e-05
150 00,9.074114598611396e-05,0.0,9.074114598611396e-05
150 000,8.289611387741488e-05,0.0,8.289611387741488e-05
150 carros,0.0,7.117570969686675e-05,-7.117570969686675e-05
150 deputados,0.0001229061849301,0.0,0.0001229061849301
150 metros,0.0001560203319862,2.6751934456514624e-05,0.0001292683975297
150 mil,0.000231629706671,7.406516286608291e-05,0.0001575645438049
150 milhoes,0.0002104654865138,0.0002956159790735,-8.515049255974148e-05
150 paises,3.644415651947991e-05,3.641417501521144e-05,2.998150426847425e-08
150 pessoas,5.184131693629682e-05,0.0001042281005496,-5.238678361337999e-05
152 milhoes,8.757766795891384e-05,0.0,8.757766795891384e-05
158 acordos,0.0,7.155479411912911e-05,-7.155479411912911e-05
159 bilhoes,0.0,0.0003806179384722,-0.0003806179384722
15k coreia,7.070838094146127e-05,0.0,7.070838094146127e-05
16 00,0.0001486104116957,0.0,0.0001486104116957
16 17,4.981408908288919e-05,0.0,4.981408908288919e-05
16 18,0.0,0.0001187530759995,-0.0001187530759995
16 acordo,0.0,8.755743346226013e-05,-8.755743346226013e-05
16 agosto,2.4756519258624358e-05,4.523435030898113e-05,-2.0477831050356777e-05
16 anos,0.0004465637489398,0.0008824257602607,-0.0004358620113208
16 bilhoes,8.744802651344555e-05,7.243714794968588e-05,1.5010878563759672e-05
16 comissao,4.91316430696768e-05,4.668435533363841e-05,2.447287736038384e-06
16 dezembro,5.6564673218539424e-05,3.4147362346669986e-05,2.241731087186944e-05
16 dias,0.0001300674733161,0.0,0.0001300674733161
16 fevereiro,4.902039573734803e-05,0.0001713960677416,-0.0001223756720042
16 horas,0.000255348209633,6.660073052403205e-05,0.0001887474791089
16 jair,7.291058961706999e-05,0.0,7.291058961706999e-05
16 janeiro,0.0,7.732382343858533e-05,-7.732382343858533e-05
16 maio,0.0,8.828053004096721e-05,-8.828053004096721e-05
16 marco,3.123549199339772e-05,0.0001647723470503,-0.0001335368550569
16 meses,0.0,9.155127438226302e-05,-9.155127438226302e-05
16 mil,5.050186236100926e-05,0.0001390848540199,-8.858299165897911e-05
16 milhoes,9.140548265015286e-05,9.342030837066476e-05,-2.0148257205119017e-06
16 novembro,0.0,0.000172381663148,-0.000172381663148
16 ontem,5.720081040535441e-05,0.0,5.720081040535441e-05
16 outubro,0.0,0.000102138551828,-0.000102138551828
16 pedido,3.80602743112412e-05,5.72596194980929e-05,-1.9199345186851708e-05
16 pessoas,4.26046466717925e-05,5.595749821595302e-05,-1.3352851544160513e-05
16 presidente,2.8279014777344948e-05,2.8458297325670677e-05,-1.792825483257256e-07
16 profissionais,7.261764872046385e-05,0.0,7.261764872046385e-05
16 reduzidas,0.0,9.24927319685511e-05,-9.24927319685511e-05
16 rio,4.400890312213151e-05,4.319833677508689e-05,8.105663470446136e-07
16 sao,4.7903542592258096e-05,8.553123282980596e-05,-3.762769023754787e-05
